Year,Recon,Observed
1859,2391857,-9999
1860,2845074,-9999
1861,534427,-9999
1862,3835209,-9999
1863,1889229,-9999
1864,2257810,-9999
1865,2643540,-9999
1866,4109899,-9999
1867,3483390,-9999
1868,2762975,-9999
1869,2421630,-9999
1870,2176999,-9999
1871,1182861,-9999
1872,2866059,-9999
1873,2181018,-9999
1874,1776487,-9999
1875,2282484,-9999
1876,2125364,-9999
1877,2077112,-9999
1878,2282470,-9999
1879,1220509,-9999
1880,1990534,-9999
1881,2242509,-9999
1882,1988579,-9999
1883,1825988,-9999
1884,3276979,-9999
1885,3092427,-9999
1886,2234460,-9999
1887,1265921,-9999
1888,2063640,-9999
1889,1395015,-9999
1890,2465957,-9999
1891,2619404,-9999
1892,2485948,-9999
1893,1900650,-9999
1894,2122466,-9999
1895,2583616,-9999
1896,1342603,-9999
1897,2997265,-9999
1898,2330394,-9999
1899,1872431,-9999
1900,1633703,-9999
1901,2264353,-9999
1902,826740,-9999
1903,2824305,-9999
1904,1865676,-9999
1905,2915819,-9999
1906,2970202,3185901
1907,2918892,2846692
1908,1868325,1756924
1909,2722990,3046804
1910,1974106,2291499
1911,2719834,2477501
1912,2750386,3178428
1913,2170346,2145502
1914,3523121,3075685
1915,2185545,2087022
1916,2548328,2848242
1917,3047361,3246981
1918,2166026,2467247
1919,2276443,2132025
1920,2855776,3461115
1921,3134922,3178404
1922,2148647,2809656
1923,2582795,2833586
1924,2212509,2434442
1925,1884215,2171178
1926,2576862,2450477
1927,2795441,2834739
1928,2530431,2920202
1929,2818218,3497455
1930,2516595,2531890
1931,1894949,1228828
1932,2945839,2718944
1933,2025661,1925146
1934,835367,1073892
1935,2372637,1865669
1936,1918404,2241663
1937,2358511,1951228
1938,2849999,2961929
1939,1885588,1882771
1940,2114550,1514364
1941,2865264,2792918
1942,3330147,3373483
1943,2255561,2213933
1944,2282683,2659884
1945,1902738,2301424
1946,1320774,1704455
1947,2709892,2329769
1948,2505699,2877115
1949,2974910,2600620
1950,1979261,1823802
1951,1670259,1670474
1952,3209541,3173990
1953,1797911,1793917
1954,970703,1143434
1955,2259491,1508109
1956,1671345,1592253
1957,3345211,3693918
1958,2423621,2834841
1959,1093945,1381881
1960,2404573,1855431
1961,1394999,1500348
1962,2928674,2658680
1963,1624840,1343031
1964,1990429,1785738
1965,2843369,3015591
1966,2049286,1799249
1967,1860395,1554922
1968,1918399,2138645
1969,2585563,2349896
1970,2681970,2848536
1971,2009887,2335469
1972,1691274,1624027
1973,3168327,2741974
1974,2318688,2020381
1975,2741909,2409973
1976,1887776,1626069
1977,579876,779000
1978,3060099,2323534
1979,2760776,2819462
1980,2268171,2740567
1981,1704102,1178243
1982,3010224,2566322
1983,3574478,3579503
1984,3457713,4292354
1985,3315325,3567799
1986,3513229,3364989
1987,2751563,2932765
1988,1973581,1696709
1989,1830557,1661817
1990,1595291,1359727
1991,2784522,2107930
1992,2474660,2008891
1993,2955624,3364633
1994,1810660,1934581
1995,3263329,3821887
1996,2496104,-9999
1997,2776117,-9999
