Year,Recon,Observed
1859,7269156,-9999
1860,8926189,-9999
1861,2344986,-9999
1862,10615587,-9999
1863,4935058,-9999
1864,7063516,-9999
1865,7925679,-9999
1866,10945685,-9999
1867,9613599,-9999
1868,7449443,-9999
1869,7442263,-9999
1870,6243531,-9999
1871,3781291,-9999
1872,8374956,-9999
1873,6194098,-9999
1874,5117384,-9999
1875,6716913,-9999
1876,6649851,-9999
1877,6206090,-9999
1878,5655964,-9999
1879,3732950,-9999
1880,5747290,-9999
1881,6097885,-9999
1882,6386792,-9999
1883,6343494,-9999
1884,9063111,-9999
1885,8574170,-9999
1886,6218166,-9999
1887,2950584,-9999
1888,6065138,-9999
1889,4428932,-9999
1890,7078204,-9999
1891,7117839,-9999
1892,6742495,-9999
1893,5341470,-9999
1894,6124540,-9999
1895,7849754,-9999
1896,3963038,-9999
1897,8770399,-9999
1898,5951601,-9999
1899,5584562,-9999
1900,4504645,-9999
1901,6699548,-9999
1902,2777152,-9999
1903,7834237,-9999
1904,5412961,-9999
1905,7861765,-9999
1906,8236819,8041469
1907,8185874,8550626
1908,5002044,5190570
1909,7701639,9029296
1910,5116601,6586879
1911,7825801,7251058
1912,8291857,9362398
1913,6208970,6098033
1914,9403151,8897274
1915,5761746,6025707
1916,7365675,8342086
1917,9438735,9660793
1918,6695735,7352826
1919,6154333,5883527
1920,8524395,9907758
1921,9345361,9801693
1922,6096325,7982240
1923,7777718,8245029
1924,6512263,6929507
1925,5872165,6042111
1926,7953463,7659858
1927,7917406,8470262
1928,7525212,8623025
1929,7732385,9652755
1930,7481742,7243322
1931,5290252,3977984
1932,7908433,7856195
1933,6861803,5820366
1934,3257228,3329134
1935,6667972,5881092
1936,6391115,7064815
1937,6924207,5823551
1938,8526493,8730427
1939,5582614,5490005
1940,6088432,4680926
1941,8346517,7790594
1942,9326378,8927706
1943,6718508,6419578
1944,6477868,7123251
1945,5690204,6670954
1946,4094616,5243373
1947,8568151,7276913
1948,6914142,7648167
1949,8294396,7458198
1950,5638968,5377758
1951,5295615,5413310
1952,9317383,9278758
1953,5182515,5339964
1954,2522239,3470414
1955,6959436,4630758
1956,5210302,5062595
1957,9339969,10089389
1958,6522604,7737683
1959,3661602,4504236
1960,6447284,5699628
1961,4129739,4545695
1962,8448688,8218934
1963,4646622,4034584
1964,5609462,4843199
1965,8850587,8234483
1966,5292721,5064952
1967,5612656,4806660
1968,5604878,5973247
1969,7782320,6452859
1970,7635523,7577469
1971,6637620,6685023
1972,4945929,4835127
1973,9158102,8033556
1974,6777914,5760157
1975,7732946,7046808
1976,5669490,4797094
1977,2463271,2590057
1978,8556106,7070186
1979,7822863,8299785
1980,6587539,7915324
1981,4603746,3884838
1982,8496987,7399680
1983,10359679,10977909
1984,9580507,12529336
1985,8925588,10367601
1986,8985651,9729974
1987,7432593,7650670
1988,5252923,5166115
1989,6017307,4722412
1990,4621208,4119371
1991,8512554,5588692
1992,6395781,5213429
1993,8232057,8997687
1994,5307921,5141153
1995,9612510,9534768
1996,7600375,-9999
1997,7900377,-9999
