Year,Recon,Observed
1818,1419243,-9999
1819,1421801,-9999
1820,1074369,-9999
1821,1605315,-9999
1822,1121741,-9999
1823,1378096,-9999
1824,826975,-9999
1825,1347428,-9999
1826,1489811,-9999
1827,1190356,-9999
1828,1908166,-9999
1829,935284,-9999
1830,1264654,-9999
1831,1595806,-9999
1832,1672707,-9999
1833,1173797,-9999
1834,1002643,-9999
1835,1474323,-9999
1836,1486037,-9999
1837,2007302,-9999
1838,1975319,-9999
1839,1998504,-9999
1840,1844007,-9999
1841,1801677,-9999
1842,1000765,-9999
1843,2028417,-9999
1844,1122483,-9999
1845,241024,-9999
1846,1028703,-9999
1847,1138328,-9999
1848,1155110,-9999
1849,1880939,-9999
1850,1684029,-9999
1851,938862,-9999
1852,1466153,-9999
1853,1710985,-9999
1854,1368414,-9999
1855,750327,-9999
1856,1218495,-9999
1857,1221722,-9999
1858,1453673,-9999
1859,1370539,-9999
1860,1678741,-9999
1861,907168,-9999
1862,2245526,-9999
1863,1392660,-9999
1864,1341748,-9999
1865,1440302,-9999
1866,1873411,-9999
1867,2045691,-9999
1868,1590444,-9999
1869,1607270,-9999
1870,1194884,-9999
1871,538903,-9999
1872,1729230,-9999
1873,1236930,-9999
1874,1024084,-9999
1875,1630002,-9999
1876,1798928,-9999
1877,1058097,-9999
1878,1272885,-9999
1879,806870,-9999
1880,1343173,-9999
1881,1216333,-9999
1882,862029,-9999
1883,1077409,-9999
1884,1622092,-9999
1885,1610294,-9999
1886,1328761,-9999
1887,873623,-9999
1888,1172039,-9999
1889,960800,-9999
1890,1428311,-9999
1891,1865035,-9999
1892,1254252,-9999
1893,967001,-9999
1894,1198421,-9999
1895,1918329,-9999
1896,885033,-9999
1897,1521582,-9999
1898,1550107,-9999
1899,914293,-9999
1900,1494194,-9999
1901,1274083,-9999
1902,848141,-9999
1903,1475205,-9999
1904,1251911,-9999
1905,1633993,-9999
1906,1699353,1566816
1907,1753461,2436580
1908,1341543,1322011
1909,1794684,2322504
1910,1381053,1427931
1911,1843389,1336619
1912,1459898,1755386
1913,1337818,1550390
1914,1828839,1973151
1915,1233132,920192
1916,1555022,1863081
1917,1988579,2181144
1918,1598292,1871480
1919,1179225,786908
1920,1678905,1595912
1921,1868932,1880679
1922,1628013,1915775
1923,1654351,1782191
1924,1351117,1179661
1925,1254721,1503423
1926,2053729,1210358
1927,1493431,1692901
1928,1982359,1648306
1929,1352130,1242154
1930,1313990,1461128
1931,1307080,696018
1932,1556727,1242254
1933,1096801,978685
1934,795140,466245
1935,1057249,990984
1936,1295312,1679703
1937,1666222,1298047
1938,1460535,1440931
1939,1199297,1077473
1940,1027055,571433
1941,1610538,1155364
1942,1550410,1360240
1943,1413383,1778691
1944,1373129,1416334
1945,1103744,1205758
1946,870287,1165132
1947,1819248,1797850
1948,1292382,1279691
1949,1611721,1347691
