Year,Recon,Observed
1815,2292058,-9999
1816,2409719,-9999
1817,2017228,-9999
1818,2090443,-9999
1819,2298969,-9999
1820,1976534,-9999
1821,2681811,-9999
1822,1765624,-9999
1823,2148907,-9999
1824,968590,-9999
1825,1577776,-9999
1826,2356069,-9999
1827,2055610,-9999
1828,2573865,-9999
1829,1690117,-9999
1830,1891816,-9999
1831,2591045,-9999
1832,2681016,-9999
1833,2168427,-9999
1834,1548256,-9999
1835,2174203,-9999
1836,2151406,-9999
1837,3048966,-9999
1838,2443748,-9999
1839,2690708,-9999
1840,2687194,-9999
1841,2533240,-9999
1842,1103832,-9999
1843,3414515,-9999
1844,1891523,-9999
1845,509012,-9999
1846,1405689,-9999
1847,1162931,-9999
1848,2196324,-9999
1849,2858162,-9999
1850,2557541,-9999
1851,539867,-9999
1852,2597188,-9999
1853,2739169,-9999
1854,2152448,-9999
1855,915422,-9999
1856,2137756,-9999
1857,1824732,-9999
1858,2575573,-9999
1859,2320679,-9999
1860,2196978,-9999
1861,1119433,-9999
1862,2794052,-9999
1863,1753102,-9999
1864,2190046,-9999
1865,2131840,-9999
1866,3227288,-9999
1867,3336166,-9999
1868,2395314,-9999
1869,2144812,-9999
1870,2134493,-9999
1871,809166,-9999
1872,2346098,-9999
1873,2555007,-9999
1874,1435061,-9999
1875,1946664,-9999
1876,2232896,-9999
1877,1923537,-9999
1878,2020963,-9999
1879,1143220,-9999
1880,1920364,-9999
1881,2161939,-9999
1882,1877794,-9999
1883,2090935,-9999
1884,2542626,-9999
1885,2523780,-9999
1886,1605117,-9999
1887,1337943,-9999
1888,2020307,-9999
1889,1598575,-9999
1890,1721930,-9999
1891,2286734,-9999
1892,2139382,-9999
1893,1774049,-9999
1894,2172064,-9999
1895,2599172,-9999
1896,1247197,-9999
1897,2350399,-9999
1898,1817291,-9999
1899,2179247,-9999
1900,2016420,-9999
1901,1692875,-9999
1902,820827,-9999
1903,2578972,-9999
1904,1813049,-9999
1905,2195340,-9999
1906,2473944,2704581
1907,2511590,3105056
1908,1419885,1704909
1909,2566055,3149168
1910,1857265,1899562
1911,2161298,2192425
1912,2427902,2986627
1913,1934574,1827501
1914,2571597,3083148
1915,1784473,1813680
1916,2061283,2296536
1917,2648001,3035239
1918,2391787,2866386
1919,1660012,1701796
1920,2322794,2832015
1921,3068781,2977966
1922,1722713,2094635
1923,2542094,2597998
1924,2565559,2279309
1925,1837710,1890402
1926,2333799,2689228
1927,2243386,2468427
1928,2714828,2914435
