"year","flow","signal","avgLLE","sawp_avg","flow_mean","flow_var"
1728,1742213,-0.227676984763004,-0.0186229203967472,0.530227212989127,2.10502921428571,0.272205920322953
1729,1461271,-0.294595283600376,-0.0296598253196097,0.52791796524383,2.10630247619048,0.270581736847426
1730,1898516,-0.175471770261872,-0.0417742811242614,0.525999915580263,2.11057911904762,0.271574659309815
1731,2358620,-0.00666996274362298,-0.0473290554245931,0.524546602650284,2.112026,0.272128564121854
1732,2043328,0.179466582045329,-0.0544627582442446,0.523552145416959,2.12516676190476,0.270184692879113
1733,2524261,0.299398764672805,-0.0617069385272308,0.522909244422132,2.12336969047619,0.269788190940073
1734,2734790,0.148750130417984,-0.0655313796073407,0.522435596861742,2.12430545238095,0.269290074379376
1735,1368653,-0.24349996776543,-0.0674105855465446,0.521902103053498,2.1269789047619,0.264231762868235
1736,1071252,-0.478153551254087,-0.0706086019944062,0.521065601705981,2.12239497619048,0.265260348252512
1737,1612806,-0.303873188448756,-0.0765030121408713,0.519724529655567,2.13380776190476,0.266147592410332
1738,2362485,0.0148427149947242,-0.084217114106214,0.517752575762695,2.11966992857143,0.277637043011141
1739,2722523,0.134636294346854,-0.0889644631301783,0.515080619516361,2.11878057142857,0.277062919657226
1740,1442607,0.11718293172931,-0.0934082463664945,0.511668785766201,2.12305447619048,0.282207849962304
1741,2898003,0.171342089429373,-0.101356218093639,0.507501337358873,2.11882333333333,0.275597380265886
1742,2004881,0.236025664430758,-0.111087457094408,0.502605586580661,2.11055357142857,0.281739097248592
1743,2532710,0.162023128975652,-0.11657112231339,0.497096504646871,2.13909633333333,0.284270781751691
1744,1917256,0.04777640227485,-0.125283290299657,0.491233783960587,2.13717795238095,0.285857952454632
1745,2213748,0.0618163033592906,-0.136267361643223,0.485339800584939,2.14054752380952,0.287676967594499
1746,2539064,0.126382092080507,-0.149022896223425,0.479609976106133,2.11963130952381,0.290157280134658
1747,2715638,0.0664133184618012,-0.160377907571227,0.474130830507648,2.115703,0.281948342215902
1748,1169597,-0.080378836816829,-0.169490896080629,0.468973850843528,2.12078542857143,0.28337507834147
1749,2600723,-0.137774658829099,-0.176332372859882,0.464239651437682,2.11997078571429,0.284034797963587
1750,1509786,-0.0472299467521084,-0.18353572521112,0.460032651443952,2.13818052380952,0.273387158599524
1751,2311573,0.11632922167407,-0.188552615288359,0.456322505310888,2.13634754761905,0.274428298240595
1752,2328543,0.252430159270587,-0.19075274160179,0.452712673172811,2.11878978571429,0.279380263713929
1753,2322350,0.252386179575655,-0.190462769033885,0.448676787837046,2.12136088095238,0.279260402765668
1754,2194222,0.0662934625089824,-0.189189893669263,0.444037256351492,2.10966285714286,0.275351661325296
1755,1883670,-0.17439107343317,-0.192912207888034,0.438896082288352,2.08208323809524,0.271975797563308
1756,1258283,-0.270965617684017,-0.192860155132219,0.433498464619787,2.0806815,0.274107189329573
1757,1918901,-0.214481456609374,-0.195268507428343,0.428157554556311,2.10149688095238,0.249256674687278
1758,2405715,-0.129333405043757,-0.192417690212841,0.423195830160932,2.10808438095238,0.244483732250388
1759,1433182,-0.0145868817565635,-0.190880611364159,0.418890553073119,2.09430023809524,0.245279393992332
1760,2415638,0.186518315260588,-0.187367032016483,0.415425369352909,2.07410011904762,0.236417893928839
1761,2798239,0.348508640840057,-0.178848099939338,0.412852950865222,2.07877438095238,0.231288023393754
1762,2794654,0.302970535853707,-0.169175047599078,0.411073974116468,2.05596385714286,0.214855832774564
1763,1578529,0.115291586661212,-0.16354209391455,0.409848451473977,2.07039138095238,0.222088327939266
1764,2767516,-0.0327567657812373,-0.161772886068833,0.408898791148329,2.06392521428571,0.217719718711929
1765,1694026,-0.0857778327374998,-0.152943998459522,0.408135124168067,2.0545444047619,0.224234569204491
1766,2473115,-0.0591025599245269,-0.136245458895803,0.407706839328939,2.06393226190476,0.230998174985954
1767,1632969,0.0525499390932835,-0.118432476955516,0.407768635997243,2.0458455,0.22713128616811
