"year","flow","signal","avgLLE","flow_mean","flow_var"
1569,1177764,0.0178164400453659,NA,NA,NA
1570,1641231,0.016918572417315,NA,NA,NA
1571,1186761,-0.0115332228768114,NA,NA,NA
1572,1339400,-0.0575259085292812,NA,NA,NA
1573,1253655,-0.0905151684621255,NA,NA,NA
1574,1039732,-0.0845148954383109,NA,NA,NA
1575,1337208,-0.044799772886648,NA,NA,NA
1576,1071204,-0.00786588835419673,NA,NA,NA
1577,1693231,-0.00967255778608168,NA,NA,NA
1578,1654572,-0.0508596273671778,NA,NA,NA
1579,889523,-0.094826762747832,NA,NA,NA
1580,838106,-0.103131970131506,NA,NA,NA
1581,1479710,-0.0733974430423303,NA,NA,NA
1582,1626011,-0.0406785811531572,NA,NA,NA
1583,1556679,-0.0406434593402857,NA,NA,NA
1584,628739,-0.07277846445747,NA,NA,NA
1585,1461596,-0.101768138836223,NA,NA,NA
1586,1638384,-0.0956899810510556,NA,NA,NA
1587,951386,-0.0621839950853001,NA,NA,NA
1588,1236220,-0.045632425367329,NA,NA,NA
1589,1738624,-0.0859828875574413,-0.0692499317011903,1.36883888095238,0.192422292292205
1590,776532,-0.176154213960307,-0.0663741541964986,1.37950442857143,0.193024709215666
1591,1029142,-0.257308553677285,-0.0612446243944681,1.3726709047619,0.191321711079991
1592,745046,-0.259319264124792,-0.058374178284736,1.37660569047619,0.190473262737487
1593,1340703,-0.15582897099579,-0.0530734521354424,1.38915616666667,0.196132193475606
1594,1279221,0.00954807069250596,-0.0427088840944658,1.40127442857143,0.198935812185178
1595,1668511,0.147727232832138,-0.0314698444554755,1.40821407142857,0.19581813548597
1596,2056246,0.183107520943273,-0.0214127410787536,1.42186142857143,0.201655289548787
1597,1482477,0.105681338913654,-0.00455914059333019,1.43818676190476,0.201120535337405
1598,1060537,-0.0195071617585654,0.0094957665534012,1.43514097619048,0.199918648014073
1599,1832391,-0.0919855652998129,0.0204218460898753,1.43039130952381,0.198730851374073
1600,599456,-0.03976449757897,0.0248485146991307,1.44697771428571,0.191905687810355
1601,2266957,0.131577586834742,0.0256402873997023,1.44200354761905,0.199149862629278
1602,1634478,0.335753489909445,0.0229117346172743,1.44397683333333,0.199465845351996
1603,1958168,0.454289454118666,0.0168928225345674,1.43887695238095,0.198656223702388
1604,2219341,0.410471707978834,0.0111973808623655,1.43369407142857,0.198533547312068
1605,2109305,0.221326837657629,0.0049000782543567,1.44511621428571,0.185175965250465
1606,1355450,-0.0111174008978043,-0.00033042169298423,1.4398365952381,0.186168430872003
1607,415358,-0.167061646300466,-0.00074421470829061,1.43256752380952,0.185430772417914
1608,1316348,-0.186566835110561,-0.00280748318467284,1.44092445238095,0.180125423806156
1609,1462726,-0.0994165103703443,-0.00511171100772104,1.4403619047619,0.180374644489308
1610,1443104,0.0117942823476648,-0.00475762195078198,1.42657152380952,0.179935040779621
1611,1625717,0.079395789475147,-0.00661491498706489,1.43061754761905,0.175234146602205
1612,1354223,0.0927440921502904,-0.00866663406949963,1.4487530952381,0.174130738748332
1613,1352022,0.0879189069721899,-0.0174411845949413,1.46394316666667,0.161921591759703
1614,1866520,0.105075576895242,-0.0314075849110172,1.46619821428571,0.161565790236368
1615,1762622,0.15357653723138,-0.0468615169337511,1.46590771428571,0.161680617992307
1616,1331197,0.208106980673141,-0.0590782992273758,1.45777904761905,0.161081651835949
1617,1910397,0.230221908524945,-0.0778087060537745,1.43990169047619,0.152584929875243
1618,1756868,0.195421116743689,-0.0955243385634642,1.44394516666667,0.15362431943424
1619,1565308,0.109040358306927,-0.112507387408333,1.44794895238095,0.151152541602095
1620,1455086,0.00377498242144675,-0.123172719672802,1.43368492857143,0.148463083222312
1621,1586152,-0.0789945614226512,-0.131389588517351,1.45312861904762,0.131109259878046
1622,629191,-0.112959199343126,-0.138048963641235,1.41663173809524,0.126200914531418
