"year","flow","signal","avgLLE","sawp_avg","flow_mean","flow_var"
1569,6374653,0.344871450926935,NA,NA,NA,NA
1570,8974935,0.730177241988503,NA,NA,NA,NA
1571,6947425,0.73478255532163,NA,NA,NA,NA
1572,8805974,0.127687096571747,NA,NA,NA,NA
1573,5414633,-0.770497883178072,NA,NA,NA,NA
1574,3738194,-1.27784636452255,NA,NA,NA,NA
1575,7686349,-0.949748753739978,NA,NA,NA,NA
1576,5137781,-0.0370209083077921,NA,NA,NA,NA
1577,8168256,0.628104955364613,NA,NA,NA,NA
1578,7756051,0.39132535589964,NA,NA,NA,NA
1579,5673707,-0.463786216284262,NA,NA,NA,NA
1580,3028517,-1.02383064823469,NA,NA,NA,NA
1581,5738981,-0.958988228619237,NA,NA,NA,NA
1582,6767262,-0.8928250422551,NA,NA,NA,NA
1583,6063672,-1.26724580807036,NA,NA,NA,NA
1584,1795865,-1.52673173443243,NA,NA,NA,NA
1585,5665219,-0.974217303792663,NA,NA,NA,NA
1586,7753628,0.10500182695539,NA,NA,NA,NA
1587,5998962,0.744080037968116,-0.0723950361203332,2.16005655114202,6.54098297297297,4.65746497657592
1588,7928923,0.4010033822459,-0.0870253450576298,2.18030812901154,6.56696413513513,4.67355777337206
1589,7445606,-0.610516461048411,-0.101805430793618,2.19733280321476,6.42992718918919,4.69009115908982
1590,2937872,-1.54558732753006,-0.111476615913331,2.21082143515882,6.47564218918919,4.81604514994732
1591,5493788,-1.79187202580309,-0.11788776923076,2.22050095774887,6.41695135135135,4.66235934681907
1592,4752296,-1.15197841810496,-0.124617199674473,2.22616416413087,6.51993613513514,4.84259465895423
1593,6959893,0.111417649795197,-0.130815804251217,2.22770761132011,6.62636402702703,4.65313241758958
1594,8019235,1.33218136457438,-0.134687460634782,2.22519385681851,6.59955551351351,4.62131224013431
1595,8627026,1.70400690176739,-0.13450555914157,2.21894431417533,6.70653764864865,4.72332829427373
1596,8719575,0.881045150400966,-0.135183593748199,2.20966697879009,6.70829724324324,4.72872980675008
1597,5843421,-0.573042419937107,-0.136798877248465,2.1985885184771,6.72181321621622,4.76459859118845
1598,1765178,-1.60070178702373,-0.137064989955027,2.18724699222425,6.78501213513514,4.77622210124551
1599,9264474,-1.59659745042757,-0.137055934463019,2.17679545447155,6.93747213513513,4.45900400004551
1600,2867762,-0.766141595730159,-0.129974634335836,2.16773595207848,6.99346878378378,4.43707072251112
1601,8762419,0.35020440670753,-0.126366392892669,2.16009990563974,7.00828572972973,4.43830417975548
1602,8552023,1.35649870918711,-0.123485106393599,2.15364810462281,7.03200872972973,4.41306397529048
1603,8846793,1.977390700319,-0.114013242880886,2.14801931533301,7.28017783783784,4.02072664899342
1604,8899056,1.92221154549079,-0.104401506880049,2.14283549893862,7.27760037837838,4.02952868235496
1605,8840966,1.1106055420871,-0.097333107232758,2.13777363132236,7.23283097297297,4.05988085188069
1606,7335956,0.0198964216350707,-0.0993671287917414,2.13261190827646,7.18842291891892,4.2454791723338
1607,3904568,-0.5333931889173,-0.0970086035141696,2.12724127958441,7.083256,4.49462348858611
1608,8638880,-0.198579797861479,-0.0956519393335534,2.12160789303886,7.00221678378378,4.67725512305273
1609,6634413,0.523065601438648,-0.094500391305671,2.11555312207998,7.13068616216216,4.21462153942147
1610,9225070,0.933061463045409,-0.100545351745057,2.10858233716354,7.16303040540541,4.1444992811648
1611,7676026,0.936478226136955,-0.111128878470825,2.09980196254072,7.20549137837838,4.00079680574102
1612,6694434,0.891492482309475,-0.121446344098865,2.08835832562149,7.20426754054054,4.00147006721987
1613,9096120,0.940314985419392,-0.133424300677856,2.0738915691516,7.10350002702703,4.20836462718453
1614,8233361,0.925079362728281,-0.138191701428389,2.05655454833838,6.99887681081081,4.28571955162666
1615,8256142,0.795632097368408,-0.143186255291715,2.03689219767573,7.02100432432432,4.38210055523856
1616,8012067,0.666541931398705,-0.146124430894666,2.0157219357862,7.00955859459459,4.41465312561242
1617,8669537,0.578481805242881,-0.145889046350044,1.99400376159929,7.10777886486486,3.71277444649034
1618,7810857,0.557788751394433,-0.150800629402861,1.97269627579795,7.04030827027027,3.5820977587227
1619,7315489,0.741601549567043,-0.156633823414909,1.9526015886523,7.12073364864865,3.13162221232257
1620,6941423,1.08163846269205,-0.163356199849261,1.93419549701854,7.04848227027027,3.08095416708993
1621,10978122,1.12134822631998,-0.172844037121059,1.91753899992736,7.01537781081081,3.01918963771905
1622,5569853,0.464688175022491,-0.181772907057155,1.9025253420445,6.97795891891892,2.93012980623463
1623,6097160,-0.637609703769933,-0.190016389175275,1.88922264775419,6.90806251351351,2.83487814581892
